numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune
407871;OCINE;RUE DU LION D'OR;OCINE;OCINE;FIXE;OUI;50.750679, 2.250328;Hauts-de-France;62;62765
408323;UTOPIA;1 PLACE MENDES-FRANCE;ASSOCIATION CINEMAS DES DEUX RIVES;;FIXE;NON;49.044334, 2.106823;Ile-de-France;95;95572
409142;CIRCUIT ALAIN RESNAIS;2 AVENUE MAS SALAT;OFFICE CULTUREL CLERMONTAIS;;ITINERANT;NON;43.528827, 3.517645;Occitanie;34;34281
409903;7 EME ART;ROUTE DE PIERRELATTE;LE NAVIRE;SARL CINEODE;FIXE;NON;44.353475, 4.739599;Auvergne - Rhône-Alpes;26;26324
411244;CENTRE CULTUREL COMMUNAL;37BIS AVENUE DE LA REPUBLIQUE;CINE-OFF;;FIXE;NON;47.389603, 0.719808;Centre - Val-de-Loire;37;37233
412532;SAINT POURCINOIS;COUR DES BENEDICTINS;COMMUNAUTE DE COMMUNES SAINT POURCAIN SIOULE LIMAGNE;;ITINERANT;NON;46.307498, 3.289943;Auvergne - Rhône-Alpes;3;3254
414162;CINE PALACE;4 AV FAUCONNET;ASSOCIATION CINE PALACE;SARL MC4 DISTRIBUTION;FIXE;NON;43.788778, 4.829098;Provence-Alpes-Côte-d'Azur;13;13100
418633;CINEMA STAR;3 TRAVERSE DE LA GENDARMERIE;COMMUNE DE SAINT TROPEZ;SARL CINEPROFILMS;FIXE;NON;43.269837, 6.635574;Provence-Alpes-Côte-d'Azur;83;83119
418992;CASINO MUNICIPAL;LE PERREY;CASINO DE SAINT VALERY EN CAUX;SARL NORD OUEST EXPLOITATION CINEMA;FIXE;NON;49.863, 0.706604;Normandie;76;76655
419082;CINE  GALAURE;AVENUE DESIRE VALETTE;ASSOCIATION DIFFUSION EXPLOITATION CINEMATOGRAPHIQUE SUD EST;SARL GPCI;FIXE;NON;45.176008, 4.816127;Auvergne - Rhône-Alpes;26;26333
420443;AREVI;AV DU DOCTEUR LEMOYNE;COMMUNAUTE DE COMMUNES DU PAYS DE SAINT YRIEIX;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.51138, 1.20357;Nouvelle Aquitaine;87;87187
421441;LE MANOIR;11 TER AVENUE DES SABLES;ASSOCIATION CINEMA LE MANOIR;SUD CINE;FIXE;NON;46.465494, -1.62086;Pays de la Loire;85;85288
421911;CINEMA JACQUES PERRIN;19 RUE BATAILLON BERTHIER;CINEMA MARIVAUX;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.898249, 4.4318;Auvergne - Rhône-Alpes;69;69243
421923;CENTRE MULTIMEDIA;AVENUE PAUL JOUCLA;OFFICE DU TOURISME DU PAYS DE TARASCON;;FIXE;NON;42.846422, 1.603935;Occitanie;9;9306
422871;STUDIO CINE;207 RUE DE PARIS;STUDIO 207;;FIXE;NON;49.026312, 2.224754;Ile-de-France;95;95607
423383;OLYMPIA CINE;2 RUE D'ORCHIES;LES TOILES DU NORD;;FIXE;NON;50.526289, 3.170036;Hauts-de-France;59;59586
423561;CASINO;7, RUE MARCEAU;CENTRE D'ANIMATION CULTURELLE INTERCOMMUNALE DU TERNOIS;SARL CINEODE;FIXE;NON;49.657142, 3.298248;Hauts-de-France;2;2738
423865;CINE ROC;16 AVENUE JEAN JAURES;COMMUNE DE TERRASSON LA VILLEDIEU;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.131093, 1.301938;Nouvelle Aquitaine;24;24547
424194;GRAND ECRAN;CAP OCEAN;SARL GRAND ECRAN;STE D'EXPLOITATION GRAND ECRAN (FRIDMAN);FIXE;OUI;44.637099, -1.153746;Nouvelle Aquitaine;33;33529
424465;RELAIS CULTUREL REGIONAL;51 RUE KLEBER;ASSOCIATION ARTS ET CULTURE PAYS THANNAIS;;FIXE;NON;47.805797, 7.101395;Grand-Est;68;68334
426533;AGORA;23 RUE PIERRE CHEVENARD;VEGA;;FIXE;NON;46.030249, 4.313447;Auvergne - Rhône-Alpes;69;69248
427442;Salle Saint-Gobain;Place Saint-Gobain;COMMUNE DE THOUROTTE;;FIXE;NON;49.482001, 2.884056;Hauts-de-France;60;60636
427703;FOYER;1 BIS, RUE ALBERT SAMAIN;ASSOCIATION ARTS ET LOISIRS;SARL GPCI;FIXE;NON;50.471998, 3.073172;Hauts-de-France;59;59592
429814;CITEA;12 RUE DE RIGNY;CINE SPECTACLE;;FIXE;NON;48.676183, 5.893159;Grand-Est;54;54528
430222;A B C SALLE A;13 RUE ST BERNARD;ASSOCIATION POUR LA PROMOTION DU CINEMA ABC;;FIXE;NON;43.60903, 1.443975;Occitanie;31;31555
430771;STUDIOS DU FRESNOY SALLE;22 RUE DU FRESNOY;LE FRESNOY STUDIO NATIONAL DES ARTS CONTEMPORAINS;;FIXE;NON;50.699907, 3.155883;Hauts-de-France;59;59599
431351;ESPACE SAINT MICHEL;ESPACE SAINT MICHEL;ASSOCIATION CINEFOL 31;;ITINERANT;NON;43.216817, 0.882662;Occitanie;31;31028
431771;MEGA CGR 2 LIONS;AVENUE MARCEL MERIEUX;TOURMOND;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;47.365422, 0.680755;Centre - Val-de-Loire;37;37261
433570;CINELAND;ZAC DU ROND PIONT DE BREZILLET;CINECRANS;SAS CINE DIFFUSION;FIXE;OUI;48.493105, -2.761907;Bretagne;22;22360
434402;JOACASINO;ESPLANADE LOUIS ARAGON;CASINO DU TREPORT;SARL CINEODE;FIXE;NON;50.061473, 1.367587;Normandie;76;76711
436453;CGR TROYES;RUE DES BAS TREVOIS;AUBOISE D EXPLOITATION CINEMATOGRAPHIQUE;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;48.291806, 4.080707;Grand-Est;10;10387
437012;ATLANTIC;PLACE DES ANCIENS COMBATTANTS;DAVID;SARL GPCI;FIXE;NON;47.348261, -2.512088;Pays de la Loire;44;44211
437401;CHANTECLER;45 PLACE MONTMAIN;LES AMIS DU CINEMA;;FIXE;NON;45.754303, 6.417593;Auvergne - Rhône-Alpes;73;73303
437630;ESPACE LE TREFLE;29, RUE D'ENSISHEIM;MAISON DES JEUNES ET DE LA CULTURE D' UNGERSHEIM;SARL NORD OUEST EXPLOITATION CINEMA;FIXE;NON;47.876905, 7.309221;Grand-Est;68;68343
438001;ITSAS MENDI;RUE BERNARD DE CORAL;AEP LES AMIS DE LA JEUNESSE D URRUGNE;;FIXE;NON;43.36278, -1.696856;Nouvelle Aquitaine;64;64545
439271;LES VARIETES;72 RUE DE CHELLES;ASSOCIATION VAIROISE D'ANIMATION CULTURELLE;;FIXE;NON;48.874168, 2.632366;Ile-de-France;77;77479
