geolocalisation;latitude;longitude
48.040732, -1.692346;48.040732;-1.692346
45.823984, 0.44846;45.823984;0.44846
47.696864, 0.415325;47.696864;0.415325
48.071336, 1.331864;48.071336;1.331864
45.714496, 1.608216;45.714496;1.608216
43.383798, 5.16491;43.383798;5.16491
47.592055, 0.915712;47.592055;0.915712
46.810802, 0.542436;46.810802;0.542436
47.858822, 4.57312;47.858822;4.57312
48.110117, 5.13491;48.110117;5.13491
48.813094, 2.192579;48.813094;2.192579
47.212271, -0.72686;47.212271;-0.72686
49.638968, -1.621407;49.638968;-1.621407
46.148022, 0.295463;46.148022;0.295463
48.821274, 1.987156;48.821274;1.987156
48.763489, 5.589497;48.763489;5.589497
49.06477, -1.036857;49.06477;-1.036857
49.168276, 5.857616;49.168276;5.857616
50.453829, 2.940575;50.453829;2.940575
49.050552, -1.444356;49.050552;-1.444356
46.362399, -0.298072;46.362399;-0.298072
49.259398, 2.472183;49.259398;2.472183
43.774382, 5.440971;43.774382;5.440971
47.520393, -2.585183;47.520393;-2.585183
47.553711, 5.676507;47.553711;5.676507
43.714843, -1.055363;43.714843;-1.055363
50.668276, 1.837675;50.668276;1.837675
49.921565, 1.079726;49.921565;1.079726
46.480212, 3.977127;46.480212;3.977127
47.323594, 5.030088;47.323594;5.030088
48.635211, -2.055645;48.635211;-2.055645
48.546939, -1.753756;48.546939;-1.753756
42.958713, -0.332293;42.958713;-0.332293
43.859667, 0.100888;43.859667;0.100888
45.779053, 4.778383;45.779053;4.778383
45.404676, 2.044182;45.404676;2.044182
44.564376, 6.493852;44.564376;6.493852
48.970841, 2.307185;48.970841;2.307185
49.04567, 3.958674;49.04567;3.958674
48.957859, 2.301996;48.957859;2.301996
48.988575, 2.259906;48.988575;2.259906
48.63121, -2.463964;48.63121;-2.463964
48.434287, 2.157598;48.434287;2.157598
43.158478, 2.727734;43.158478;2.727734
46.253781, 6.118753;46.253781;6.118753
48.187045, 0.653774;48.187045;0.653774
46.656698, 6.0275;46.656698;6.0275
48.400175, 2.71613;48.400175;2.71613
48.791543, 2.289748;48.791543;2.289748
43.726491, 4.708604;43.726491;4.708604
49.099464, 2.524882;49.099464;2.524882
43.3974611, 6.718800399999964;43.3974611;6.718800399999964
43.287544, 5.6229;43.287544;5.6229
48.071742, 6.881569;48.071742;6.881569
45.1800066, 5.791162699999973;45.1800066;5.791162699999973
48.701701, 2.13387;48.701701;2.13387
49.482406, 1.723715;49.482406;1.723715
45.935346, 6.473902;45.935346;6.473902
43.608373, 5.064398;43.608373;5.064398
43.757246, 5.886021;43.757246;5.886021
43.757189, 5.886009;43.757189;5.886009
44.900658, 5.555056;44.900658;5.555056
46.600458, 4.067349;46.600458;4.067349
47.990181, -1.796621;47.990181;-1.796621
44.638602, -1.111896;44.638602;-1.111896
48.80003, 7.834416;48.80003;7.834416
49.492799, 0.120219;49.492799;0.120219
50.724833, 2.533715;50.724833;2.533715
50.409044, 2.9707;50.409044;2.9707
49.304867, -0.074371;49.304867;-0.074371
47.403746, -0.921463;47.403746;-0.921463
46.949327, 1.995229;46.949327;1.995229
43.514195, 4.987268;43.514195;4.987268
48.515193, 2.341767;48.515193;2.341767
46.414996, -1.574373;46.414996;-1.574373
47.5524248, -0.23296830000003865;47.5524248;-0.23296830000003865
49.229366, 6.019184;49.229366;6.019184
47.983463, 3.395496;47.983463;3.395496
45.445545, -0.433778;45.445545;-0.433778
49.011314, 2.043572;49.011314;2.043572
48.688996, 2.376314;48.688996;2.376314
43.539479, 1.511109;43.539479;1.511109
44.213874, -0.919094;44.213874;-0.919094
48.879604, 2.706124;48.879604;2.706124
43.653486, 5.262357;43.653486;5.262357
47.60131, 2.026127;47.60131;2.026127
48.510619, -4.069393;48.510619;-4.069393
44.726847, 3.856667;44.726847;3.856667
47.861736, 5.332835;47.861736;5.332835
45.128093, 5.589034;45.128093;5.589034
45.302343, 6.947815;45.302343;6.947815
50.679317, 3.243787;50.679317;3.243787
45.307833, -0.938774;45.307833;-0.938774
50.633401, 3.06284;50.633401;3.06284
48.744182, 2.503331;48.744182;2.503331
46.673494, 5.556147;46.673494;5.556147
47.236043, -1.348969;47.236043;-1.348969
46.460681, -1.176832;46.460681;-1.176832
42.87365, -0.003171;42.87365;-0.003171
46.790178, 3.969574;46.790178;3.969574
45.769811, 4.855776;45.769811;4.855776
45.763283, 4.843832;45.763283;4.843832
45.787335, 4.812112;45.787335;4.812112
47.252947, 6.800494;47.252947;6.800494
47.808963, -2.386134;47.808963;-2.386134
48.347714, 0.363927;48.347714;0.363927
47.968733, 0.203923;47.968733;0.203923
48.989664, 1.715981;48.989664;1.715981
42.235245, 8.804724;42.235245;8.804724
43.297447, 5.379767;43.297447;5.379767
43.312724, 5.384422;43.312724;5.384422
44.551614, 3.291609;44.551614;3.291609
43.42733, 0.576514;43.42733;0.576514
45.868856, -0.320748;45.868856;-0.320748
45.216795, 2.333982;45.216795;2.333982
45.861574, 6.626043;45.861574;6.626043
