numCommune;nomCommune;populationCommune;situationGeographique;zoneCommune;numDepartement;nouvelleRegion;numUniteUrbaine
25388;Montbéliard;25336;04-Unités urbaines de 100 000 hbts ou plus;C;25;Bourgogne - Franche-Comté;25601
63236;Mont-Dore;1328;04-Unités urbaines de 100 000 hbts ou plus;R;63;Auvergne - Rhône-Alpes;0
26198;Montélimar;38397;05-Unités urbaines de 20 000 à 100 000 hbts;C;26;Auvergne - Rhône-Alpes;551
17240;Montendre;3210;06-autres communes et unités urbaines;C;17;Nouvelle Aquitaine;17112
35188;Montfort-sur-Meu;6556;06-autres communes et unités urbaines;I;35;Bretagne;35208
1262;Montluel;7032;04-Unités urbaines de 100 000 hbts ou plus;B;1;Auvergne - Rhône-Alpes;758
86165;Montmorillon;6095;06-autres communes et unités urbaines;I;86;Nouvelle Aquitaine;86202
34172;Montpellier;277639;04-Unités urbaines de 100 000 hbts ou plus;C;34;Occitanie;34701
34172;Montpellier;277639;04-Unités urbaines de 100 000 hbts ou plus;C;34;Occitanie;34701
81182;Montredon-Labessonnié;2036;04-Unités urbaines de 100 000 hbts ou plus;R;81;Occitanie;0
62588;Montreuil;2133;06-autres communes et unités urbaines;C;62;Hauts-de-France;62201
41151;Montrichard Val de Cher;3837;06-autres communes et unités urbaines;C;41;Centre - Val-de-Loire;41204
76451;Mont-Saint-Aignan;19209;04-Unités urbaines de 100 000 hbts ou plus;B;76;Normandie;755
6084;Mouans-Sartoux;9510;04-Unités urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Côte-d'Azur;6701
8311;Mouzon;2356;06-autres communes et unités urbaines;I;8;Grand-Est;8102
40201;Mugron;1456;04-Unités urbaines de 100 000 hbts ou plus;R;40;Nouvelle Aquitaine;0
68224;Mulhouse;110370;04-Unités urbaines de 100 000 hbts ou plus;C;68;Grand-Est;68701
12164;Mur-de-Barrez;785;04-Unités urbaines de 100 000 hbts ou plus;R;12;Occitanie;0
44109;Nantes;303382;04-Unités urbaines de 100 000 hbts ou plus;C;44;Pays de la Loire;44701
11262;Narbonne;53462;05-Unités urbaines de 20 000 à 100 000 hbts;I;11;Occitanie;11502
11262;Narbonne;53462;05-Unités urbaines de 20 000 à 100 000 hbts;I;11;Occitanie;11502
47195;Nérac;6969;06-autres communes et unités urbaines;C;47;Nouvelle Aquitaine;47301
6088;Nice;342522;04-Unités urbaines de 100 000 hbts ou plus;C;6;Provence-Alpes-Côte-d'Azur;6701
30189;Nîmes;150672;04-Unités urbaines de 100 000 hbts ou plus;C;30;Occitanie;30601
28280;Nogent-le-Rotrou;9956;06-autres communes et unités urbaines;C;28;Centre - Val-de-Loire;28301
94052;Nogent-sur-Marne;31550;02-Grande Couronne;B;94;Ile-de-France;851
10268;Nogent-sur-Seine;5965;06-autres communes et unités urbaines;I;10;Grand-Est;10202
85163;Noirmoutier-en-l'Île;4666;06-autres communes et unités urbaines;I;85;Pays de la Loire;85131
93051;Noisy-le-Grand;66213;02-Grande Couronne;B;93;Ile-de-France;851
13066;Noves;5761;04-Unités urbaines de 100 000 hbts ou plus;B;13;Provence-Alpes-Côte-d'Azur;754
60471;Noyon;13883;06-autres communes et unités urbaines;C;60;Hauts-de-France;60304
26220;Nyons;6690;06-autres communes et unités urbaines;I;26;Auvergne - Rhône-Alpes;26202
67348;Obernai;10751;06-autres communes et unités urbaines;C;67;Grand-Est;67303
64422;Oloron-Sainte-Marie;10818;06-autres communes et unités urbaines;C;64;Nouvelle Aquitaine;64303
74205;Onnion;1260;04-Unités urbaines de 100 000 hbts ou plus;R;74;Auvergne - Rhône-Alpes;0
68249;Orbey;3576;06-autres communes et unités urbaines;I;68;Grand-Est;68116
94055;Ormesson-sur-Marne;10161;02-Grande Couronne;B;94;Ile-de-France;851
66130;Osséja;1328;04-Unités urbaines de 100 000 hbts ou plus;R;66;Occitanie;0
1283;Oyonnax;22392;05-Unités urbaines de 20 000 à 100 000 hbts;C;1;Auvergne - Rhône-Alpes;1401
77350;Ozoir-la-Ferrière;20137;03-Petite couronne;B;77;Ile-de-France;851
56152;Le Palais;2579;06-autres communes et unités urbaines;I;56;Bretagne;56105
79202;Parthenay;10381;06-autres communes et unités urbaines;C;79;Nouvelle Aquitaine;79303
64445;Pau;77215;04-Unités urbaines de 100 000 hbts ou plus;C;64;Nouvelle Aquitaine;64601
94058;Le Perreux-sur-Marne;33970;02-Grande Couronne;B;94;Ile-de-France;851
84089;Pertuis;19645;06-autres communes et unités urbaines;I;84;Provence-Alpes-Côte-d'Azur;84303
33318;Pessac;61332;04-Unités urbaines de 100 000 hbts ou plus;B;33;Nouvelle Aquitaine;33701
40224;Peyrehorade;3616;06-autres communes et unités urbaines;C;40;Nouvelle Aquitaine;40204
15153;Pleaux;1517;04-Unités urbaines de 100 000 hbts ou plus;R;15;Auvergne - Rhône-Alpes;0
92060;Le Plessis-Robinson;28974;02-Grande Couronne;B;92;Ile-de-France;851
