numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune;nomCommune
95044;AXEL;69 RUE GLORIETTE;CINEMA RITZ SARL;SAS AGORA CINEMAS;FIXE;NON;46.781288, 4.850256;Bourgogne - Franche-Comte;71;71076;Chalon-sur-Saône
95076;MEGARAMA;1 RUE RENE CASSIN;CINEMA RITZ SARL;SAS AGORA CINEMAS;FIXE;OUI;46.775786, 4.864432;Bourgogne - Franche-Comte;71;71076;Chalon-sur-Saône
96184;VOX;22 COURS DU BARTAVEL;CHAMONIX SPECTACLES;;FIXE;NON;45.923063, 6.86902;Auvergne - Rhone-Alpes;74;74056;Chamonix-Mont-Blanc
96641;RHODO;LE CENTRE;SOCIETE DES CINEMAS DE COURCHEVEL;SARL MC4 DISTRIBUTION;FIXE;NON;45.454122, 6.692461;Auvergne - Rhone-Alpes;73;73071;Champagny-en-Vanoise
99031;ELYSEE;25, AVENUE DU MARECHAL JOFFRE;CINE FRERES;;FIXE;NON;49.191375, 2.464237;Hauts-de-France;60;60141;Chantilly
103201;CINE ESPERANCE;3 RUE DE LA CONTERIE;FEDERATION ESPERANCE CHARTRES DE BRETAGNE;SAS CINE DIFFUSION;FIXE;NON;48.040732, -1.692346;Bretagne;35;35066;Chartres-de-Bretagne
103561;VOX;PLACE DE L EGLISE;RENON IRENE EPOUSE VERGNAUD;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.823984, 0.44846;Nouvelle Aquitaine;16;16085;Chasseneuil-sur-Bonnieure
104164;ES RECOLLETS;RUE DU THEATRE;CINE-OFF;;FIXE;NON;47.696864, 0.415325;Pays de la Loire;72;72071;Montval-sur-Loir
104181;LE DUNOIS;17 RUE DE VARIZE;BENTABET HOCINE;;FIXE;NON;48.071336, 1.331864;Centre - Val-de-Loire;28;28088;Chateaudun
104642;COLISEE;1 PLACE DU COLISEE;COMMUNAUTE DE COMMUNES BRIANCE-COMBADE;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.714496, 1.608216;Nouvelle Aquitaine;87;87040;Chateauneuf-la-Foret
104661;ESPACE MARCEL PAGNOL;RUE ERASME GUICHET;OFFICE MUNICIPAL DE LA CULTURE DE CHATEAUNEUF;;FIXE;NON;43.383798, 5.16491;Provence-Alpes-Cote-d'Azur;13;13026;Chateauneuf-les-Martigues
104851;LE BALZAC;16 PLACE ARISTIDE BRIAND;ASSOCIATION CENTRE CULTUREL DE CHATEAU RENAULT;;FIXE;NON;47.592055, 0.915712;Centre - Val-de-Loire;37;37063;Chateau-Renault
105375;LES 400 COUPS;4 RUE AIME RASSETEAU;MJC LES 400 COUPS;SNC SAGEC - CINE 32 VEO;FIXE;NON;46.810802, 0.542436;Nouvelle Aquitaine;86;86066;Chatellerault
106181;SELECT;46 RUE DU MARECHAL;ALLIANCE BOURGUIGNONNE CINEMATOGRAPHIQUE;;FIXE;NON;47.858822, 4.57312;Bourgogne - Franche-Comte;21;21154;Chatillon-sur-Seine
107043;A L'AFFICHE;7 PLACE EMILE GOGUENHEIM;LES ECRANS DE CHAUMONT;SARL NORD OUEST EXPLOITATION CINEMA;FIXE;OUI;48.110117, 5.13491;Grand-Est;52;52121;Chaumont
108192;ATRIUM;3 PARVIS ROBERT SCHUMAN;REGIE CULTURELLE ATRIUM DE CHAVILLE;SARL GPCI;FIXE;NON;48.813094, 2.192579;Ile-de-France;92;92022;Chaville
108932;CLUB;RUE DES VENELLES;ABC49 LES AMIS DU BON CINEMA;;FIXE;NON;47.212271, -0.72686;Pays de la Loire;49;49092;Chemille-en-Anjou
109792;CGR ODEON;51 RUE DU MARECHAL FOCH;SOCIETE RENNAISE DE DIFFUSION CINEMATOGRAPHIQUE;SARL LES FILMS DE LA ROCHELLE;FIXE;NON;49.638968, -1.621407;Normandie;50;50129;Cherbourg-en-Cotentin
113131;LE CINE-MALICE;7 RUE LOUIS XIII;TEXIER PASCAL;SUD CINE;FIXE;NON;46.148022, 0.295463;Nouvelle Aquitaine;86;86078;Civray
114032;ESPACE PHILIPPE NOIRET;PLACE CHARLES DE GAULLE;COMMUNE DE CLAYES SOUS BOIS;;FIXE;NON;48.821274, 1.987156;Ile-de-France;78;78165;Les Clayes-sous-Bois
